valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,longitude,latitude,year,date_mutation
377000.0,67.0,3,34000,3.899793,43.597635,2023,2023-02-01
200000.0,86.0,4,34070,3.864628,43.594644,2023,2023-01-31
306000.0,66.0,3,34000,3.902657,43.597912,2023,2023-01-30
331420.0,88.0,4,34000,3.890325,43.618883,2023,2023-02-02
249000.0,86.0,4,34070,3.84453,43.594567,2023,2023-02-01
504950.0,125.0,5,34070,3.85954,43.611868,2023,2023-02-01
273000.0,80.0,3,34070,3.84154,43.601208,2023,2023-02-06
169000.0,43.0,2,34090,3.871224,43.627565,2023,2023-01-26
226500.0,67.0,3,34000,3.868129,43.607204,2023,2023-01-31
249000.0,86.0,4,34070,3.84453,43.594567,2023,2023-02-01
132983.0,70.0,3,34070,3.833325,43.597931,2023,2023-01-24
125000.0,63.0,4,34070,3.850537,43.602587,2023,2023-02-02
96331.0,25.0,1,34000,3.898207,43.617475,2023,2023-01-09
201140.0,67.0,3,34070,3.857382,43.593153,2023,2023-02-02
109500.0,32.0,2,34080,3.847297,43.621955,2023,2023-02-07
180500.0,69.0,3,34070,3.884593,43.593825,2023,2023-01-31
137000.0,49.0,2,34000,3.906581,43.613534,2023,2023-01-30
162000.0,46.0,2,34080,3.8419,43.623519,2023,2023-01-13
109000.0,37.0,2,34000,3.87753,43.613586,2023,2023-02-06
241200.0,61.0,3,34070,3.841407,43.59216,2023,2023-02-07
70000.0,18.0,1,34000,3.87509,43.607716,2023,2023-01-30
154500.0,34.0,2,34090,3.842796,43.634633,2023,2023-01-26
280000.0,76.0,3,34000,3.894631,43.608194,2023,2023-02-09
102636.0,17.0,1,34000,3.874949,43.609904,2023,2023-02-02
110000.0,46.0,2,34090,3.840836,43.627719,2023,2023-02-02
173230.0,76.0,4,34070,3.878181,43.59509,2023,2023-02-02
74200.0,17.0,1,34090,3.852553,43.621567,2023,2023-01-13
111200.0,70.0,4,34070,3.875006,43.594018,2023,2023-01-26
197660.0,78.0,4,34070,3.886911,43.593676,2023,2023-02-10
100000.0,49.0,2,34080,3.838455,43.611435,2023,2023-02-02
70000.0,19.0,1,34000,3.878575,43.602153,2023,2023-02-08
