id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439318,2023-01-24,000001,Vente en l'état futur d'achèvement,345000,8,,RUE DU LANTISSARGUES,3165,34070,34172,Montpellier,34,,,34172000ON0104,,,206,,,,,,,,,,1,,,,,,,,,,3.885238,43.587564
2023-439320,2023-01-09,000001,Vente,158000,6,,RUE GAUCELIN DE LA GARDE,2498,34070,34172,Montpellier,34,,,34172000EP0002,,,144,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.868421,43.594405
2023-439320,2023-01-09,000001,Vente,158000,7,,RUE GAUCELIN DE LA GARDE,2498,34070,34172,Montpellier,34,,,34172000EP0010,,,11,,4,73.01,,,,,,,2,2,Appartement,73,4,,,,,,3.868794,43.594206
2023-439320,2023-01-09,000001,Vente,158000,7,,RUE GAUCELIN DE LA GARDE,2498,34070,34172,Montpellier,34,,,34172000EP0010,,,11,,4,73.01,,,,,,,2,3,Dépendance,,0,,,,,,3.868794,43.594206
2023-439322,2023-01-19,000001,Vente en l'état futur d'achèvement,324058,548,,RUE DE PUECH VILLA,4715,34090,34172,Montpellier,34,,,34172000TB0066,,,123,,,,,,,,,,1,,,,,,,,,,3.831305,43.641306
2023-439322,2023-01-19,000001,Vente en l'état futur d'achèvement,324058,548,,RUE DE PUECH VILLA,4715,34090,34172,Montpellier,34,,,34172000TB0066,,,90,,,,,,,,,,1,,,,,,,,,,3.831305,43.641306
2023-439322,2023-01-19,000001,Vente en l'état futur d'achèvement,324058,548,,RUE DE PUECH VILLA,4715,34090,34172,Montpellier,34,,,34172000TB0066,,,146,,,,,,,,,,1,,,,,,,,,,3.831305,43.641306
2023-439323,2023-01-30,000001,Vente,360365,155,,RUE JEAN FERRAT,9159,34000,34172,Montpellier,34,,,34172000SE0235,,,33,,,,,,,,,,1,2,Appartement,63,3,,,,,,3.907468,43.600344
2023-439323,2023-01-30,000001,Vente,360365,155,,RUE JEAN FERRAT,9159,34000,34172,Montpellier,34,,,34172000SE0235,,,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.907468,43.600344
2023-439326,2023-01-19,000001,Vente en l'état futur d'achèvement,318000,8,,RUE DU LANTISSARGUES,3165,34070,34172,Montpellier,34,,,34172000ON0104,,,29,,,,,,,,,,1,,,,,,,,,,3.885238,43.587564
